,Solar,Wind,Waste,Biogas,Sewage_gas,Biomass_1_crops,Biomass_2_waste
2020-01-12 01:00:00,22.642653610068006,866.0319999999999,,,,,
2020-01-12 02:00:00,23.95708547132973,764.0160000000001,,,,,
2020-01-12 03:00:00,22.930185579719005,1883.326,,,,,
2020-01-12 04:00:00,30.5937927708253,1983.843,,,,,
2020-01-12 05:00:00,52.34842247462422,3007.227,,,,,
2020-01-12 06:00:00,69.08004470860156,3653.7290000000003,,,,,
2020-01-12 07:00:00,86.54712286495155,3004.025,,,,,
2020-01-12 08:00:00,8013.83091014018,4003.906,,,,,
2020-01-12 09:00:00,116200.12276707753,8659.756,,,,,
2020-01-12 10:00:00,346541.1425745839,22179.045,,,,,
2020-01-12 11:00:00,572447.0932422117,16635.708,,,,,
2020-01-12 12:00:00,706094.3351437459,17864.722999999998,,,,,
2020-01-12 13:00:00,721533.4835701437,19078.705,,,,,
2020-01-12 14:00:00,591842.0536950736,18979.337,,,,,
2020-01-12 15:00:00,357233.11079804663,17855.897,,,,,
2020-01-12 16:00:00,103837.67595193374,16025.496000000001,,,,,
2020-01-12 17:00:00,2896.6811702553146,23518.198,,,,,
2020-01-12 18:00:00,109.50078044219308,26463.565,,,,,
2020-01-12 19:00:00,111.38636424316971,22339.1,,,,,
2020-01-12 20:00:00,89.6591185364804,7552.856,,,,,
2020-01-12 21:00:00,46.8325030568295,4008.228,,,,,
2020-01-12 22:00:00,30.86176474254086,2611.446,,,,,
2020-01-12 23:00:00,25.21674933837221,2918.968,,,,,
2020-01-13 00:00:00,24.2505106516741,2281.0860000000002,,,,,
2020-01-13 01:00:00,22.867617359954988,2759.556,,,,,
2020-01-13 02:00:00,15.855350810007282,1766.525,,,,,
2020-01-13 03:00:00,17.189344056050334,1644.824,,,,,
2020-01-13 04:00:00,24.305278702831295,1891.037,,,,,
2020-01-13 05:00:00,47.069227965953026,2311.124,,,,,
2020-01-13 06:00:00,102.49449573703203,3472.52,,,,,
2020-01-13 07:00:00,182.79423874261173,6097.643,,,,,
2020-01-13 08:00:00,12280.794635121652,8485.904999999999,,,,,
2020-01-13 09:00:00,119341.3869052074,8230.175,,,,,
2020-01-13 10:00:00,303262.28661219927,10150.529999999999,,,,,
2020-01-13 11:00:00,444873.95334740664,7460.886,,,,,
2020-01-13 12:00:00,510484.98522870213,6655.527,,,,,
2020-01-13 13:00:00,518053.4154701457,7410.327,,,,,
2020-01-13 14:00:00,420793.1062942102,6141.108,,,,,
2020-01-13 15:00:00,316729.31615934736,4469.29,,,,,
2020-01-13 16:00:00,101814.71468606895,7094.729,,,,,
2020-01-13 17:00:00,2825.374223097256,7370.629,,,,,
2020-01-13 18:00:00,86.01518034419816,16954.157,,,,,
2020-01-13 19:00:00,68.41898790812296,22983.531,,,,,
2020-01-13 20:00:00,65.16224486609704,20456.406,,,,,
2020-01-13 21:00:00,27.061285277134314,27519.609,,,,,
2020-01-13 22:00:00,24.7003910718939,39239.054000000004,,,,,
2020-01-13 23:00:00,22.482285000027595,44738.037,,,,,
2020-01-14 00:00:00,19.75364629782864,47301.41,,,,,
2020-01-14 01:00:00,17.609870048455416,45708.507,,,,,
2020-01-14 02:00:00,24.103790803856057,34645.368,,,,,
2020-01-14 03:00:00,21.05829844959136,43314.588,,,,,
2020-01-14 04:00:00,29.34782741386483,48510.104999999996,,,,,
2020-01-14 05:00:00,51.05551793899625,46555.185,,,,,
2020-01-14 06:00:00,115.57222944385612,44416.812999999995,,,,,
2020-01-14 07:00:00,194.49683862470428,46650.356999999996,,,,,
2020-01-14 08:00:00,12821.354595434814,44304.953,,,,,
2020-01-14 09:00:00,154424.78421535148,43597.997,,,,,
2020-01-14 10:00:00,396625.5128731763,41366.126000000004,,,,,
2020-01-14 11:00:00,653167.1031671916,31868.676,,,,,
2020-01-14 12:00:00,774192.7981654182,26672.411,,,,,
2020-01-14 13:00:00,748679.6720336222,24360.727,,,,,
2020-01-14 14:00:00,566130.6050507338,24054.337,,,,,
2020-01-14 15:00:00,306940.9933846894,24294.943,,,,,
2020-01-14 16:00:00,96983.25609750723,31086.438000000002,,,,,
2020-01-14 17:00:00,3367.2015796872925,36783.246,,,,,
